Model,Run,Formula,Formula_Name,Mechanical_Safety,Swelling_Performance,Endothelialization,SMC_inhibition,Anti_inflammation,Thrombogenicity,Total_Score,Winner
claude-opus-4-5-20251101,5,2,Formula 2,8.0,7.0,6.0,5.0,5.0,5.0,36.0,5.0
claude-opus-4-5-20251101,5,3,Formula 3,7.0,7.0,7.0,6.0,7.0,7.0,41.0,5.0
claude-opus-4-5-20251101,5,4,Formula 4,8.0,6.0,8.0,5.0,7.0,6.0,40.0,5.0
claude-opus-4-5-20251101,5,5,Formula 5,7.0,8.0,5.0,7.0,7.0,8.0,42.0,5.0
claude-opus-4-5-20251101,5,6,Formula 6,5.0,6.0,6.0,5.0,6.0,5.0,33.0,5.0
claude-opus-4-5-20251101,5,7,Formula 7,6.0,5.0,6.0,5.0,6.0,6.0,34.0,5.0
claude-opus-4-5-20251101,5,8,Formula 8,7.0,6.0,6.0,5.0,6.0,5.0,35.0,5.0
claude-opus-4-5-20251101,5,9,Formula 9,8.0,7.0,3.0,6.0,5.0,6.0,35.0,5.0
claude-opus-4-5-20251101,5,10,Formula 10,7.0,8.0,2.0,8.0,7.0,8.0,40.0,5.0
claude-opus-4-5-20251101,6,1,Formula 1,7.0,6.0,8.0,5.0,7.0,6.0,39.0,4.0
claude-opus-4-5-20251101,6,2,Formula 2,8.0,7.0,6.0,4.0,5.0,5.0,35.0,4.0
claude-opus-4-5-20251101,6,3,Formula 3,7.0,6.0,7.0,6.0,7.0,4.0,37.0,4.0
claude-opus-4-5-20251101,6,4,Formula 4,8.0,7.0,8.0,6.0,7.0,7.0,43.0,4.0
claude-opus-4-5-20251101,6,5,Formula 5,7.0,8.0,5.0,5.0,8.0,8.0,41.0,4.0
claude-opus-4-5-20251101,6,6,Formula 6,5.0,4.0,5.0,5.0,5.0,5.0,29.0,4.0
claude-opus-4-5-20251101,6,7,Formula 7,6.0,5.0,6.0,5.0,6.0,5.0,33.0,4.0
claude-opus-4-5-20251101,6,8,Formula 8,6.0,6.0,5.0,5.0,6.0,5.0,33.0,4.0
claude-opus-4-5-20251101,6,9,Formula 9,7.0,7.0,3.0,5.0,5.0,5.0,32.0,4.0
claude-opus-4-5-20251101,6,10,Formula 10,7.0,8.0,3.0,5.0,7.0,7.0,37.0,4.0
claude-opus-4-5-20251101,8,1,Formula 1,7.0,6.0,8.0,4.0,6.0,5.0,36.0,4.0
claude-opus-4-5-20251101,8,2,Formula 2,8.0,7.0,6.0,4.0,5.0,5.0,35.0,4.0
claude-opus-4-5-20251101,8,3,Formula 3,7.0,6.0,7.0,5.0,7.0,7.0,39.0,4.0
claude-opus-4-5-20251101,8,4,Formula 4,8.0,7.0,8.0,5.0,7.0,6.0,41.0,4.0
claude-opus-4-5-20251101,8,5,Formula 5,7.0,8.0,5.0,6.0,7.0,8.0,41.0,4.0
claude-opus-4-5-20251101,8,6,Formula 6,5.0,4.0,5.0,5.0,5.0,5.0,29.0,4.0
claude-opus-4-5-20251101,8,7,Formula 7,6.0,5.0,6.0,5.0,6.0,5.0,33.0,4.0
claude-opus-4-5-20251101,8,8,Formula 8,6.0,6.0,5.0,5.0,5.0,5.0,32.0,4.0
claude-opus-4-5-20251101,8,9,Formula 9,7.0,7.0,3.0,5.0,5.0,4.0,31.0,4.0
claude-opus-4-5-20251101,8,10,Formula 10,7.0,8.0,3.0,6.0,6.0,7.0,37.0,4.0
claude-opus-4-5-20251101,9,1,Formula 1,7.0,6.0,8.0,4.0,6.0,5.0,36.0,5.0
claude-opus-4-5-20251101,9,2,Formula 2,8.0,7.0,6.0,4.0,5.0,5.0,35.0,5.0
claude-opus-4-5-20251101,9,3,Formula 3,7.0,6.0,7.0,6.0,7.0,7.0,40.0,5.0
claude-opus-4-5-20251101,9,4,Formula 4,8.0,5.0,8.0,5.0,7.0,6.0,39.0,5.0
claude-opus-4-5-20251101,9,5,Formula 5,7.0,8.0,5.0,6.0,7.0,8.0,41.0,5.0
claude-opus-4-5-20251101,9,6,Formula 6,5.0,4.0,5.0,4.0,5.0,5.0,28.0,5.0
claude-opus-4-5-20251101,9,7,Formula 7,6.0,4.0,6.0,5.0,6.0,6.0,33.0,5.0
claude-opus-4-5-20251101,9,8,Formula 8,6.0,5.0,5.0,4.0,5.0,5.0,30.0,5.0
claude-opus-4-5-20251101,9,9,Formula 9,8.0,7.0,3.0,5.0,5.0,6.0,34.0,5.0
claude-opus-4-5-20251101,9,10,Formula 10,7.0,8.0,3.0,6.0,7.0,8.0,39.0,5.0
claude-opus-4-5-20251101,10,1,Formula 1,7.0,6.0,8.0,4.0,6.0,6.0,37.0,4.0
claude-opus-4-5-20251101,10,2,Formula 2,8.0,7.0,6.0,5.0,5.0,5.0,36.0,4.0
claude-opus-4-5-20251101,10,3,Formula 3,7.0,6.0,7.0,6.0,7.0,7.0,40.0,4.0
claude-opus-4-5-20251101,10,4,Formula 4,9.0,7.0,8.0,6.0,7.0,6.0,43.0,4.0
claude-opus-4-5-20251101,10,5,Formula 5,7.0,8.0,5.0,6.0,8.0,8.0,42.0,4.0
claude-opus-4-5-20251101,10,6,Formula 6,5.0,4.0,6.0,5.0,5.0,5.0,30.0,4.0
claude-opus-4-5-20251101,10,7,Formula 7,6.0,4.0,6.0,5.0,6.0,6.0,33.0,4.0
claude-opus-4-5-20251101,10,8,Formula 8,6.0,5.0,6.0,5.0,5.0,5.0,32.0,4.0
claude-opus-4-5-20251101,10,9,Formula 9,8.0,7.0,3.0,5.0,5.0,4.0,32.0,4.0
claude-opus-4-5-20251101,10,10,Formula 10,7.0,8.0,3.0,6.0,7.0,7.0,38.0,4.0
claude-opus-4-5-20251101,7,1,Formula 1,7.0,6.0,8.0,4.0,6.0,5.0,36.0,4.0
claude-opus-4-5-20251101,7,2,Formula 2,8.0,7.0,6.0,4.0,4.0,5.0,34.0,4.0
claude-opus-4-5-20251101,7,3,Formula 3,7.0,6.0,7.0,6.0,7.0,6.0,39.0,4.0
claude-opus-4-5-20251101,7,4,Formula 4,8.0,7.0,8.0,5.0,7.0,6.0,41.0,4.0
claude-opus-4-5-20251101,7,5,Formula 5,7.0,8.0,5.0,6.0,7.0,8.0,41.0,4.0
claude-opus-4-5-20251101,7,6,Formula 6,5.0,4.0,5.0,5.0,5.0,5.0,29.0,4.0
claude-opus-4-5-20251101,7,7,Formula 7,6.0,5.0,6.0,5.0,6.0,5.0,33.0,4.0
claude-opus-4-5-20251101,7,8,Formula 8,6.0,6.0,5.0,5.0,5.0,5.0,32.0,4.0
claude-opus-4-5-20251101,7,9,Formula 9,8.0,7.0,3.0,5.0,4.0,6.0,33.0,4.0
claude-opus-4-5-20251101,7,10,Formula 10,7.0,8.0,3.0,6.0,5.0,8.0,37.0,4.0
gemini-3-pro-preview,0,1,Formula 1,4.0,5.0,9.0,5.0,6.0,3.0,32.0,4.0
gemini-3-pro-preview,0,2,Formula 2,7.0,7.0,8.0,5.0,5.0,4.0,36.0,4.0
gemini-3-pro-preview,0,3,Formula 3,5.0,6.0,8.0,7.0,4.0,2.0,32.0,4.0
gemini-3-pro-preview,0,4,Formula 4,8.0,7.0,8.0,7.0,8.0,7.0,45.0,4.0
gemini-3-pro-preview,0,5,Formula 5,5.0,4.0,6.0,8.0,8.0,9.0,40.0,4.0
gemini-3-pro-preview,0,6,Formula 6,3.0,5.0,6.0,5.0,5.0,5.0,29.0,4.0
gemini-3-pro-preview,0,7,Formula 7,5.0,4.0,6.0,5.0,3.0,2.0,25.0,4.0
gemini-3-pro-preview,0,8,Formula 8,8.0,7.0,8.0,5.0,5.0,6.0,39.0,4.0
gemini-3-pro-preview,0,9,Formula 9,9.0,8.0,3.0,8.0,8.0,8.0,44.0,4.0
gemini-3-pro-preview,0,10,Formula 10,5.0,3.0,3.0,8.0,8.0,9.0,36.0,4.0
gemini-3-pro-preview,1,1,Formula 1,6.0,6.0,9.0,5.0,7.0,4.0,37.0,4.0
gemini-3-pro-preview,1,2,Formula 2,8.0,7.0,5.0,5.0,4.0,5.0,34.0,4.0
gemini-3-pro-preview,1,3,Formula 3,7.0,6.0,7.0,5.0,5.0,2.0,32.0,4.0
gemini-3-pro-preview,1,4,Formula 4,9.0,8.0,9.0,7.0,8.0,7.0,48.0,4.0
gemini-3-pro-preview,1,5,Formula 5,5.0,4.0,5.0,7.0,8.0,9.0,38.0,4.0
gemini-3-pro-preview,1,6,Formula 6,4.0,4.0,6.0,5.0,5.0,5.0,29.0,4.0
gemini-3-pro-preview,1,7,Formula 7,7.0,6.0,6.0,5.0,5.0,2.0,31.0,4.0
gemini-3-pro-preview,1,8,Formula 8,8.0,7.0,6.0,5.0,3.0,6.0,35.0,4.0
gemini-3-pro-preview,1,9,Formula 9,8.0,7.0,3.0,7.0,4.0,8.0,37.0,4.0
gemini-3-pro-preview,1,10,Formula 10,7.0,5.0,2.0,8.0,4.0,9.0,35.0,4.0
gemini-3-pro-preview,2,1,Formula 1,4.0,5.0,9.0,5.0,6.0,3.0,32.0,4.0
gemini-3-pro-preview,2,2,Formula 2,7.0,7.0,8.0,5.0,5.0,4.0,36.0,4.0
gemini-3-pro-preview,2,3,Formula 3,5.0,6.0,8.0,7.0,4.0,2.0,32.0,4.0
gemini-3-pro-preview,2,4,Formula 4,8.0,7.0,8.0,7.0,8.0,7.0,45.0,4.0
gemini-3-pro-preview,2,5,Formula 5,5.0,4.0,6.0,8.0,8.0,9.0,40.0,4.0
gemini-3-pro-preview,2,6,Formula 6,3.0,5.0,6.0,5.0,5.0,5.0,29.0,4.0
gemini-3-pro-preview,2,7,Formula 7,5.0,4.0,6.0,5.0,3.0,2.0,25.0,4.0
gemini-3-pro-preview,2,8,Formula 8,8.0,7.0,8.0,5.0,5.0,6.0,39.0,4.0
gemini-3-pro-preview,2,9,Formula 9,9.0,8.0,3.0,8.0,8.0,8.0,44.0,4.0
gemini-3-pro-preview,2,10,Formula 10,5.0,3.0,3.0,8.0,8.0,9.0,36.0,4.0
gemini-3-pro-preview,3,1,Formula 1,6.0,6.0,9.0,5.0,7.0,4.0,37.0,4.0
gemini-3-pro-preview,3,2,Formula 2,8.0,7.0,5.0,5.0,4.0,5.0,34.0,4.0
gemini-3-pro-preview,3,3,Formula 3,7.0,6.0,7.0,5.0,5.0,2.0,32.0,4.0
gemini-3-pro-preview,3,4,Formula 4,9.0,8.0,9.0,7.0,8.0,7.0,48.0,4.0
gemini-3-pro-preview,3,5,Formula 5,5.0,4.0,5.0,7.0,8.0,9.0,38.0,4.0
gemini-3-pro-preview,3,6,Formula 6,4.0,4.0,6.0,5.0,5.0,5.0,29.0,4.0
gemini-3-pro-preview,3,7,Formula 7,7.0,6.0,6.0,5.0,5.0,2.0,31.0,4.0
gemini-3-pro-preview,3,8,Formula 8,8.0,7.0,6.0,5.0,3.0,6.0,35.0,4.0
gemini-3-pro-preview,3,9,Formula 9,8.0,7.0,3.0,7.0,4.0,8.0,37.0,4.0
gemini-3-pro-preview,3,10,Formula 10,7.0,5.0,2.0,8.0,4.0,9.0,35.0,4.0
gemini-3-pro-preview,4,1,Formula 1,4.0,5.0,9.0,5.0,6.0,3.0,32.0,4.0
gemini-3-pro-preview,4,2,Formula 2,7.0,7.0,8.0,5.0,5.0,4.0,36.0,4.0
gemini-3-pro-preview,4,3,Formula 3,5.0,6.0,8.0,7.0,4.0,2.0,32.0,4.0
gemini-3-pro-preview,4,4,Formula 4,8.0,7.0,8.0,7.0,8.0,7.0,45.0,4.0
gemini-3-pro-preview,4,5,Formula 5,5.0,4.0,6.0,8.0,8.0,9.0,40.0,4.0
gemini-3-pro-preview,4,6,Formula 6,3.0,5.0,6.0,5.0,5.0,5.0,29.0,4.0
gemini-3-pro-preview,4,7,Formula 7,5.0,4.0,6.0,5.0,3.0,2.0,25.0,4.0
gemini-3-pro-preview,4,8,Formula 8,8.0,7.0,8.0,5.0,5.0,6.0,39.0,4.0
gemini-3-pro-preview,4,9,Formula 9,9.0,8.0,3.0,8.0,8.0,8.0,44.0,4.0
gemini-3-pro-preview,4,10,Formula 10,5.0,3.0,3.0,8.0,8.0,9.0,36.0,4.0
gemini-3-pro-preview,5,1,Formula 1,4.0,5.0,9.0,5.0,6.0,3.0,32.0,4.0
gemini-3-pro-preview,5,2,Formula 2,7.0,7.0,8.0,5.0,5.0,4.0,36.0,4.0
gemini-3-pro-preview,5,3,Formula 3,5.0,6.0,8.0,7.0,4.0,2.0,32.0,4.0
gemini-3-pro-preview,5,4,Formula 4,8.0,7.0,8.0,7.0,8.0,7.0,45.0,4.0
gemini-3-pro-preview,5,5,Formula 5,5.0,4.0,6.0,8.0,8.0,9.0,40.0,4.0
gemini-3-pro-preview,5,6,Formula 6,3.0,5.0,6.0,5.0,5.0,5.0,29.0,4.0
gemini-3-pro-preview,5,7,Formula 7,5.0,4.0,6.0,5.0,3.0,2.0,25.0,4.0
gemini-3-pro-preview,5,8,Formula 8,8.0,7.0,8.0,5.0,5.0,6.0,39.0,4.0
gemini-3-pro-preview,5,9,Formula 9,9.0,8.0,3.0,8.0,8.0,8.0,44.0,4.0
gemini-3-pro-preview,5,10,Formula 10,5.0,3.0,3.0,8.0,8.0,9.0,36.0,4.0
gemini-3-pro-preview,6,1,Formula 1,4.0,5.0,9.0,5.0,6.0,3.0,32.0,4.0
gemini-3-pro-preview,6,2,Formula 2,7.0,7.0,8.0,5.0,5.0,4.0,36.0,4.0
gemini-3-pro-preview,6,3,Formula 3,5.0,6.0,8.0,7.0,4.0,2.0,32.0,4.0
gemini-3-pro-preview,6,4,Formula 4,8.0,7.0,8.0,7.0,8.0,7.0,45.0,4.0
gemini-3-pro-preview,6,5,Formula 5,5.0,4.0,6.0,8.0,8.0,9.0,40.0,4.0
gemini-3-pro-preview,6,6,Formula 6,3.0,5.0,6.0,5.0,5.0,5.0,29.0,4.0
gemini-3-pro-preview,6,7,Formula 7,5.0,4.0,6.0,5.0,3.0,2.0,25.0,4.0
gemini-3-pro-preview,6,8,Formula 8,8.0,7.0,8.0,5.0,5.0,6.0,39.0,4.0
gemini-3-pro-preview,6,9,Formula 9,9.0,8.0,3.0,8.0,8.0,8.0,44.0,4.0
gemini-3-pro-preview,6,10,Formula 10,5.0,3.0,3.0,8.0,8.0,9.0,36.0,4.0
gemini-3-pro-preview,7,1,Formula 1,6.0,6.0,9.0,5.0,7.0,4.0,37.0,4.0
gemini-3-pro-preview,7,2,Formula 2,8.0,7.0,5.0,5.0,4.0,5.0,34.0,4.0
gemini-3-pro-preview,7,3,Formula 3,7.0,6.0,7.0,5.0,5.0,2.0,32.0,4.0
gemini-3-pro-preview,7,4,Formula 4,9.0,8.0,9.0,7.0,8.0,7.0,48.0,4.0
gemini-3-pro-preview,7,5,Formula 5,5.0,4.0,5.0,7.0,8.0,9.0,38.0,4.0
gemini-3-pro-preview,7,6,Formula 6,4.0,4.0,6.0,5.0,5.0,5.0,29.0,4.0
gemini-3-pro-preview,7,7,Formula 7,7.0,6.0,6.0,5.0,5.0,2.0,31.0,4.0
gemini-3-pro-preview,7,8,Formula 8,8.0,7.0,6.0,5.0,3.0,6.0,35.0,4.0
gemini-3-pro-preview,7,9,Formula 9,8.0,7.0,3.0,7.0,4.0,8.0,37.0,4.0
gemini-3-pro-preview,7,10,Formula 10,7.0,5.0,2.0,8.0,4.0,9.0,35.0,4.0
gemini-3-pro-preview,8,1,Formula 1,4.0,5.0,9.0,5.0,6.0,3.0,32.0,4.0
gemini-3-pro-preview,8,2,Formula 2,7.0,7.0,8.0,5.0,5.0,4.0,36.0,4.0
gemini-3-pro-preview,8,3,Formula 3,5.0,6.0,8.0,7.0,4.0,2.0,32.0,4.0
gemini-3-pro-preview,8,4,Formula 4,8.0,7.0,8.0,7.0,8.0,7.0,45.0,4.0
gemini-3-pro-preview,8,5,Formula 5,5.0,4.0,6.0,8.0,8.0,9.0,40.0,4.0
gemini-3-pro-preview,8,6,Formula 6,3.0,5.0,6.0,5.0,5.0,5.0,29.0,4.0
gemini-3-pro-preview,8,7,Formula 7,5.0,4.0,6.0,5.0,3.0,2.0,25.0,4.0
gemini-3-pro-preview,8,8,Formula 8,8.0,7.0,8.0,5.0,5.0,6.0,39.0,4.0
gemini-3-pro-preview,8,9,Formula 9,9.0,8.0,3.0,8.0,8.0,8.0,44.0,4.0
gemini-3-pro-preview,8,10,Formula 10,5.0,3.0,3.0,8.0,8.0,9.0,36.0,4.0
gemini-3-pro-preview,9,1,Formula 1,4.0,5.0,9.0,5.0,6.0,3.0,32.0,4.0
gemini-3-pro-preview,9,2,Formula 2,7.0,7.0,8.0,5.0,5.0,4.0,36.0,4.0
gemini-3-pro-preview,9,3,Formula 3,5.0,6.0,8.0,7.0,4.0,2.0,32.0,4.0
gemini-3-pro-preview,9,4,Formula 4,8.0,7.0,8.0,7.0,8.0,7.0,45.0,4.0
gemini-3-pro-preview,9,5,Formula 5,5.0,4.0,6.0,8.0,8.0,9.0,40.0,4.0
gemini-3-pro-preview,9,6,Formula 6,3.0,5.0,6.0,5.0,5.0,5.0,29.0,4.0
gemini-3-pro-preview,9,7,Formula 7,5.0,4.0,6.0,5.0,3.0,2.0,25.0,4.0
gemini-3-pro-preview,9,8,Formula 8,8.0,7.0,8.0,5.0,5.0,6.0,39.0,4.0
gemini-3-pro-preview,9,9,Formula 9,9.0,8.0,3.0,8.0,8.0,8.0,44.0,4.0
gemini-3-pro-preview,9,10,Formula 10,5.0,3.0,3.0,8.0,8.0,9.0,36.0,4.0
gemini-3-pro-preview,10,1,Formula 1,4.0,5.0,9.0,5.0,6.0,3.0,32.0,4.0
gemini-3-pro-preview,10,2,Formula 2,7.0,7.0,8.0,5.0,5.0,4.0,36.0,4.0
gemini-3-pro-preview,10,3,Formula 3,5.0,6.0,8.0,7.0,4.0,2.0,32.0,4.0
gemini-3-pro-preview,10,4,Formula 4,8.0,7.0,8.0,7.0,8.0,7.0,45.0,4.0
gemini-3-pro-preview,10,5,Formula 5,5.0,4.0,6.0,8.0,8.0,9.0,40.0,4.0
gemini-3-pro-preview,10,6,Formula 6,3.0,5.0,6.0,5.0,5.0,5.0,29.0,4.0
gemini-3-pro-preview,10,7,Formula 7,5.0,4.0,6.0,5.0,3.0,2.0,25.0,4.0
gemini-3-pro-preview,10,8,Formula 8,8.0,7.0,8.0,5.0,5.0,6.0,39.0,4.0
gemini-3-pro-preview,10,9,Formula 9,9.0,8.0,3.0,8.0,8.0,8.0,44.0,4.0
gemini-3-pro-preview,10,10,Formula 10,5.0,3.0,3.0,8.0,8.0,9.0,36.0,4.0
